import time: self [us] | cumulative | imported package
import time:       170 |        170 |   _io
import time:        28 |         28 |   marshal
import time:       174 |        174 |   posix
import time:       545 |        914 | _frozen_importlib_external
import time:       555 |        555 |   time
import time:       180 |        734 | zipimport
import time:        39 |         39 |     _codecs
import time:       505 |        543 |   codecs
import time:       627 |        627 |   encodings.aliases
import time:      2632 |       3802 | encodings
import time:       348 |        348 | encodings.utf_8
import time:        78 |         78 | _signal
import time:        24 |         24 |       _abc
import time:       128 |        152 |     abc
import time:        30 |         30 |       _stat
import time:        74 |        103 |     stat
import time:       674 |        674 |     _collections_abc
import time:        38 |         38 |       errno
import time:        67 |         67 |       genericpath
import time:       127 |        230 |     posixpath
import time:       416 |       1574 |   os
import time:        60 |         60 |   _sitebuiltins
import time:       369 |        369 |   encodings.utf_8_sig
import time:       702 |        702 |   _distutils_hack
import time:        39 |         39 |           _types
import time:       412 |        450 |         types
import time:      1170 |       1620 |       enum
import time:        61 |         61 |         _sre
import time:       453 |        453 |           re._constants
import time:       502 |        954 |         re._parser
import time:       303 |        303 |         re._casefix
import time:       521 |       1838 |       re._compiler
import time:        73 |         73 |           itertools
import time:       310 |        310 |           keyword
import time:        45 |         45 |             _operator
import time:       337 |        381 |           operator
import time:       290 |        290 |           reprlib
import time:        44 |         44 |           _collections
import time:      1219 |       2316 |         collections
import time:        39 |         39 |         _functools
import time:       658 |       3012 |       functools
import time:       239 |        239 |       copyreg
import time:       628 |       7335 |     re
import time:       686 |       8020 |   sitecustomize
import time:      1187 |      11909 | site
import time:       354 |        354 | linecache
import time:       161 |        161 |   tests
import time:       265 |        265 |     __future__
import time:       383 |        383 |       _pytest._version
import time:       332 |        715 |     _pytest
import time:       830 |        830 |           _ast
import time:       568 |       1398 |         ast
import time:       321 |        321 |               _weakrefset
import time:      1810 |       2131 |             weakref
import time:       661 |       2791 |           copy
import time:       669 |        669 |             annotationlib
import time:       151 |        151 |               io
import time:        55 |         55 |                 _opcode
import time:       616 |        616 |                 _opcode_metadata
import time:       949 |       1620 |               opcode
import time:       920 |       2690 |             dis
import time:       339 |        339 |               importlib
import time:        77 |        416 |             importlib.machinery
import time:       546 |        546 |               token
import time:        30 |         30 |               _tokenize
import time:       886 |       1461 |             tokenize
import time:      2340 |       7575 |           inspect
import time:       707 |      11072 |         dataclasses
import time:        84 |         84 |             _winapi
import time:        53 |         53 |             nt
import time:        44 |         44 |             nt
import time:        43 |         43 |             nt
import time:        41 |         41 |             nt
import time:        41 |         41 |             nt
import time:        45 |         45 |             nt
import time:        47 |         47 |             nt
import time:       226 |        620 |           ntpath
import time:       650 |        650 |             contextlib
import time:       400 |        400 |             fnmatch
import time:       515 |       1564 |           glob
import time:        45 |         45 |           pwd
import time:       468 |        468 |           grp
import time:       804 |        804 |             fcntl
import time:       121 |        121 |             _winapi
import time:       485 |       1409 |           pathlib._os
import time:       972 |       5075 |         pathlib
import time:       740 |        740 |           textwrap
import time:        34 |         34 |               _contextvars
import time:       547 |        581 |             _py_warnings
import time:       369 |        949 |           warnings
import time:       328 |        328 |           codeop
import time:      3361 |       3361 |           _colorize
import time:       816 |       6191 |         traceback
import time:       134 |        134 |           _typing
import time:      2084 |       2218 |         typing
import time:       335 |        335 |             pluggy._result
import time:       710 |       1044 |           pluggy._hooks
import time:       428 |        428 |             pluggy._tracing
import time:       343 |        343 |               pluggy._warnings
import time:       260 |        603 |             pluggy._callers
import time:       684 |       1714 |           pluggy._manager
import time:       247 |        247 |           pluggy._version
import time:       548 |       3551 |         pluggy
import time:       523 |        523 |             _bisect
import time:       313 |        836 |           bisect
import time:       324 |       1160 |         _pytest._code.source
import time:       444 |        444 |               zlib
import time:       406 |        406 |                   compression
import time:       398 |        804 |                 compression._common
import time:       663 |        663 |                 compression._common._streams
import time:       441 |        441 |                 _bz2
import time:       673 |       2580 |               bz2
import time:      1113 |       1113 |                 _lzma
import time:       585 |       1697 |               lzma
import time:       700 |        700 |                 _zstd
import time:       446 |        446 |                 compression.zstd._zstdfile
import time:       633 |       1779 |               compression.zstd
import time:      1222 |       7720 |             shutil
import time:       324 |        324 |             pygments
import time:       290 |        290 |                 pygments.formatters._mapping
import time:      1558 |       1558 |                           _json
import time:       474 |       2031 |                         json.scanner
import time:       710 |       2741 |                       json.decoder
import time:       463 |        463 |                       json.encoder
import time:       369 |       3572 |                     json
import time:       271 |        271 |                     email
import time:       563 |        563 |                       binascii
import time:       353 |        353 |                         importlib._abc
import time:       133 |        485 |                       importlib.util
import time:       520 |        520 |                         _struct
import time:       210 |        729 |                       struct
import time:       745 |        745 |                       threading
import time:       346 |        346 |                         zipfile._path.glob
import time:       606 |        952 |                       zipfile._path
import time:       866 |       4339 |                     zipfile
import time:       445 |        445 |                     importlib.metadata._meta
import time:      1363 |       1363 |                     importlib.metadata._collections
import time:       187 |        187 |                     importlib.metadata._functools
import time:       134 |        134 |                     importlib.metadata._itertools
import time:       477 |        477 |                     importlib.abc
import time:      1036 |      11821 |                   importlib.metadata
import time:       234 |      12055 |                 pygments.plugin
import time:       649 |        649 |                 pygments.util
import time:       378 |      13370 |               pygments.formatters
import time:       357 |        357 |                   pygments.styles._mapping
import time:       355 |        711 |                 pygments.styles
import time:       340 |       1051 |               pygments.formatter
import time:       410 |        410 |               pygments.token
import time:       243 |        243 |               pygments.console
import time:       387 |      15458 |             pygments.formatters.terminal
import time:       294 |        294 |               pygments.filter
import time:       523 |        523 |               pygments.filters
import time:       344 |        344 |               pygments.regexopt
import time:       621 |       1780 |             pygments.lexer
import time:      1548 |       1548 |                 pygments.lexers._mapping
import time:       526 |        526 |                 pygments.modeline
import time:       453 |       2526 |               pygments.lexers
import time:       344 |       2869 |             pygments.lexers.diff
import time:       207 |        207 |               pygments.unistring
import time:       583 |        790 |             pygments.lexers.python
import time:   3700271 |    3700271 |                   _pytest._py
import time:   3092374 |    6792644 |                 _pytest._py.error
import time:       199 |        199 |                   atexit
import time:      2959 |       2959 |                     _uuid
import time:      6926 |       9884 |                   uuid
import time:   2858576 |    2868659 |                 _pytest._py.path
import time:   1552761 |   11214063 |               py
import time:   6612087 |   17826149 |             _pytest.compat
import time:      7967 |       7967 |               unicodedata
import time:   2259417 |    2267384 |             _pytest._io.wcwidth
import time:       593 |   20123063 |           _pytest._io.terminalwriter
import time:       350 |   20123413 |         _pytest._io
import time:      3018 |       3018 |           pprint
import time:   4023221 |    4026239 |         _pytest._io.saferepr
import time:   1264349 |    1264349 |           _pytest.warning_types
import time:   1936654 |    3201003 |         _pytest.deprecated
import time:   5259291 |    5259291 |           _pytest.outcomes
import time:   3967572 |    9226863 |         _pytest.pathlib
import time:      9763 |   36617941 |       _pytest._code.code
import time:       744 |   36618685 |     _pytest._code
import time:     24440 |      24440 |                   math
import time:     18670 |      18670 |                   _random
import time:      6090 |      49199 |                 random
import time:      9743 |      58942 |               tempfile
import time:       546 |        546 |               importlib.resources.abc
import time:       678 |      60165 |             importlib.resources._common
import time:      1947 |       1947 |             importlib.resources._functional
import time:      3318 |      65428 |           importlib.resources
import time:        75 |      65503 |         importlib.resources.abc
import time:      2724 |       2724 |           importlib.resources._itertools
import time:      3085 |       5809 |         importlib.resources.readers
import time:   1704554 |    1704554 |           _pytest._io.pprint
