"id","object_type","material","findspot","latitude","longitude","date_discovered","inventory_number","date_display","date_start","date_end","width","height","depth","unit"
"1","Painting","Oil on slate paper","",,,,"54.90.492","1870s","1870","1870","23.2","15.2",,"cm"
"2","Painting","Oil on slate paper","",,,,"54.90.497","1870s","1870","1870","23.3","15.6",,"cm"
"3","Painting","Oil on slate paper","",,,,"54.90.510","1870s","1870","1870","23.5","15.6",,"cm"
"4","Painting","Oil on canvas","",,,,"55.118","ca. 1895","1892","1895","65.1","81.3",,"cm"
"6","Drawing","Graphite on off-white laid paper mounted on secondary support of Egyptian linen","",,,,"50.101.2","1898","1898","1898","49.4","37.8",,"cm"
"7","Drawing","Graphite on off-white laid paper mounted on secondary support of Egyptian linen","",,,,"50.101.3","1898","1898","1898","50.5","37.8",,"cm"
"8","Drawing","Graphite and white chalk on gray wove paper","",,,,"1971.70","ca. 1864","1861","1864","25.1","35.2",,"cm"
"9","Watercolor","Graphite, white-chalk heightening, and watercolor on green wove paper","",,,,"1977.133.1","1849","1849","1849","35.6","25.4",,"cm"
"10","Drawing","Pen and brown ink and gray washes on off-white wove paper","Germany",,,,"1970.9.16","1856","1856","1856","13.7","11.4",,"cm"
"11","Coverlet","Wool and cotton, woven","United States",,,,"25.127","1837","1837","1837","202.6","263.5",,"cm"
"12","Piece","Cotton, printed","",,,,"48.80","ca. 1870","1867","1870","78.7","102.9",,"cm"
"13","Drawing","Graphite on off-white wove paper","",,,,"1992.161","ca. 1885","1882","1885","16.2","27.6",,"cm"
"14","Watercolor","Watercolor and graphite on paper","",,,,"54.90.241","1881","1881","1881","52.1","34",,"cm"
"15","Painting, miniature","Watercolor on ivory","",,,,"2006.235.122","1833","1833","1833","4.8","5.8",,"cm"
"16","Drawing","Graphite on off-white wove paper","",,,,"1992.2.1c","1886","1886","1886","19.1","12.7",,"cm"
"17","Drawing","Graphite on off-white wove paper","",,,,"1992.2.1e","1886","1886","1886","19.1","12.7",,"cm"
"18","Drawing","Graphite on wove paper","",,,,"1995.379.4ll verso","1890","1890","1890","19.7","12.1",,"cm"
"19","Drawing","Graphite on wove paper","",,,,"1995.379.4mm recto","1890","1890","1890","19.7","12.1",,"cm"
"20","Drawing","Graphite on wove paper","",,,,"1995.379.4oo recto","1890","1890","1890","19.7","12.1",,"cm"
"21","Drawing","Ink, wash, on paper","",,,,"53.182.77 recto","1810–20","1810","1820","29.2","22.9",,"cm"
"22","Watercolor","Gouache and watercolor on off-white wove paper, mounted on academy board","",,,,"2000.512","1885","1885","1885","12.7","20.2",,"cm"
"23","Patternbook pages","Engraving on paper","",,,,"2002.233.1a–j","ca. 1849–50","1849","1850","10.5","19",,"cm"
"26","Jade mountain","Malachite","",,,,"21.175.136","late 18th–early 19th century","1767","1833",,"22.9",,"cm"
"31","Print","Triptych of woodblock prints (nishiki-e",,,,,,,,,,,,
"35","Print","Woodblock print (hand colored",,,,,,,,,,,,
"44","Netsuke","Wood","",,,,"10.211.2188","second half 19th century","1850","1899",,"2.5",,"cm"
"45","Fragment","Silk","",,,,"96.14.40","first half of the 19th century","1800","1849","17.78","24.77",,"cm"
"51","Woodblock print","Woodblock print (nishiki-e",,,,,,,,,,,,
"52","Shoemaker's Lasts","wood","",,,,"20.46","early 19th century","1800","1850",,,,"cm"
"53","Handkerchief","linen","",,,,"2009.300.1158","1897","1897","1897",,,,"cm"
"54","Carpenter's rule","Steel","",,,,"91.16.4","17th century","1600","1699","1.9","56.2",,"cm"
"55","Stone mason's compasses","Steel","",,,,"91.16.5","17th century","1600","1699",,"82.6",,"cm"
"56","Carpenter's plane","Wood, with steel blade","",,,,"91.16.12a–c","18th century","1700","1799","6.4","13.7","67.3","cm"
"57","Carpenter's plane","Wood, with steel blade","",,,,"91.16.13a–c","18th century","1700","1799","31.1","10.2","4","cm"
"58","Medallion","Bronze, cast - single","",,,,"98.7.65","1828","1828","1828",,"15.2",,"cm"
"59","Figure","Soft-paste porcelain","",,,,"06.386","ca. 1775–80","1770","1785",,"13.3",,"cm"
