"id","citation_text"
"1","William P. Chappel. ""Fly Market"". 1870s. Oil on slate paper. Metropolitan Museum of Art, New York, NY, 54.90.492."
"2","William P. Chappel. ""Hot Corn Seller"". 1870s. Oil on slate paper. Metropolitan Museum of Art, New York, NY, 54.90.497."
"3","William P. Chappel. ""The Baker's Wagon"". 1870s. Oil on slate paper. Metropolitan Museum of Art, New York, NY, 54.90.510."
"4","William Merritt Chase. ""Bessie Potter"". ca. 1895. Oil on canvas. Metropolitan Museum of Art, New York, NY, 55.118."
"6","Kenyon Cox. ""Science Instructing Industry: Nude Study"". 1898. Graphite on off-white laid paper mounted on secondary support of Egyptian linen. Metropolitan Museum of Art, New York, NY, 50.101.2."
"7","Kenyon Cox. ""Science Instructing Industry: Drapery Study"". 1898. Graphite on off-white laid paper mounted on secondary support of Egyptian linen. Metropolitan Museum of Art, New York, NY, 50.101.3."
"8","Alfred Cornelius Howland. ""Peasant Girl"". ca. 1864. Graphite and white chalk on gray wove paper. Metropolitan Museum of Art, New York, NY, 1971.70."
"9","Daniel Huntington. ""Mr. Mason by the Sea"". 1849. Graphite, white-chalk heightening, and watercolor on green wove paper. Metropolitan Museum of Art, New York, NY, 1977.133.1."
"10","Constant Mayer. ""Interior Setting: Carpenter at Work with Family (from Cropsey Album"
"11",". ""Coverlet, Agriculture & Manufactures pattern"". 1837. Wool and cotton, woven. Metropolitan Museum of Art, New York, NY, 25.127."
"12",". ""Piece"". ca. 1870. Cotton, printed. Metropolitan Museum of Art, New York, NY, 48.80."
"13","Thomas Hovenden. ""The Village Blacksmith"". ca. 1885. Graphite on off-white wove paper. Metropolitan Museum of Art, New York, NY, 1992.161."
"14","George Reynolds. ""The Old Slip Market"". 1881. Watercolor and graphite on paper. Metropolitan Museum of Art, New York, NY, 54.90.241."
"15","Anna Claypoole Peale. ""George Weaver"". 1833. Watercolor on ivory. Metropolitan Museum of Art, New York, NY, 2006.235.122."
"16","William Trost Richards. ""Studies of Field Laborers (from Sketchbook VII"
"17","William Trost Richards. ""Field with Laborers (from Sketchbook VII"
"18","Albert Bierstadt. ""Sketch of Landscape Near Mount Baker (from Sketchbook"
"19","Albert Bierstadt. ""View of Mount Baker (from Sketchbook"
"20","Albert Bierstadt. ""View of Mount Baker (from Sketchbook"
"22","James McNeill Whistler. ""Variations in Violet and Grey—Market Place, Dieppe"". 1885. Gouache and watercolor on off-white wove paper, mounted on academy board. Metropolitan Museum of Art, New York, NY, 2000.512."
"23","Gustave Ernst. ""<i>Musterblätter enthaltend die anwendbarsten Jagdstücke u. Arabesken für Büchsenschäfter, Graveure etc.</i> (Zella bei Gotha, n.d. [1849/50]"
"Patternbook of Engraved Designs for Firearms Ornament",
"1832–1904",
"25","Kitagawa Utamaro. ""Three Niwaka Performers, Chasenuri, Kurokiri, and Saimon (Tea-whisk Seller, Firewood Seller, Shrine Festival Perfomer"
"Seiro Niwaka Onna Geisha",
"26",". ""Seated luohan with a servant"". late 18th–early 19th century. Malachite. Metropolitan Museum of Art, New York, NY, 21.175.136."
"31","Utagawa (Gountei"
"nishiki-e",
"32","Utagawa Toyokuni I. ""“The Geisha To’e as a Vendor of Poems,” from the series Gion Festival Costume Parade (Gion mikoshi arai nerimono sugata"
"33","Utagawa (Gountei"
"1st month",
"35","Okumura Toshinobu. ""A Young Man as a Seller of Love Prophecies"". ca. 1730s. Woodblock print (hand colored"
"39","Utagawa Kunisada. ""Basketry Work: By the Craftsman Ichida Shōshichirō of Naniwa (Kagozaiku Naniwa saikunin Ichida Shōshichirō"
"40","Utagawa Kunisada. ""Basketry Work: By the Craftsman Ichida Shōshichirō of Naniwa (Kagosaiku Naniwa saikujin Ichida Shōshichirō"
"41","Utagawa Kunisada. ""Basketry Work: By the Craftsman Ichida Shōshichirō of Naniwa (Kagozaiku Naniwa saikunin Ichida Shōshichirō"
"42","Utagawa Kunisada. ""Basketry Work: By the Craftsman Ichida Shōshichirō of Naniwa (Kagozaiku Naniwa saikunin Ichida Shōshichirō"
"44",". ""Sleeping Farmer"". second half 19th century. Wood. Metropolitan Museum of Art, New York, NY, 10.211.2188."
"45",". ""Textile fragment with incomplete repeating pattern of loom, weaver, and drawboy"". first half of the 19th century. Silk. Metropolitan Museum of Art, New York, NY, 96.14.40."
"46","Utagawa (Gountei"
"51","Hasegawa Sadamasu 長谷川貞升. ""Nakamura Shikan IV as the Fishmonger Aratota"". 1841. Woodblock print (nishiki-e"
"52",". ""Shoemaker's lasts"". early 19th century. wood. Metropolitan Museum of Art, New York, NY, 20.46."
"53",". ""Handkerchief"". 1897. linen. Metropolitan Museum of Art, New York, NY, 2009.300.1158."
"54",". ""Carpenter's rule"". 17th century. Steel. Metropolitan Museum of Art, New York, NY, 91.16.4."
"55",". ""Pair of stone mason's compasses"". 17th century. Steel. Metropolitan Museum of Art, New York, NY, 91.16.5."
"56",". ""Carpenter's plane"". 18th century. Wood, with steel blade. Metropolitan Museum of Art, New York, NY, 91.16.12a–c."
"57",". ""Carpenter's plane"". 18th century. Wood, with steel blade. Metropolitan Museum of Art, New York, NY, 91.16.13a–c."
"58","Pierre Jean David d'Angers. ""Jean François Bodin (1776–1829"
"59","Royal Porcelain Manufactory, Naples. ""Neapolitan peasant"". ca. 1775–80. Soft-paste porcelain. Metropolitan Museum of Art, New York, NY, 06.386."
